"cc_iso3c","dqa_cap_dqi","dqa_crm_dqi","dqa_dig_dqi","dqa_ffm_dqi","dqa_hrm_dqi","dqa_inc_dqi","dqa_int_dqi","dqa_opn_dqi","dqa_pol_dqi","dqa_pro_dqi","dqa_reg_dqi","dqa_tax_dqi","dqa_overall","dqa_fimp","dqa_avl_smpl"
"MKD",0,0.5093589757089744,0,0.4722222222222222,0.29259259259259257,0.3750000031250001,0.3812908504232026,0.663888891638889,0,0.2777777777777778,0,0.21296296296296297,0.26542452303763514,4,0.3620689655172414
"MLI",0,0.5093589757089744,0,0.6074074074074074,0,0,0.10228758219934642,0.19722222359722225,0,0,0,0.21296296296296297,0.13576992932299278,7,0.14655172413793102
"MLT",0,0,0.5811965811965811,0.4388888888888889,0.29259259259259257,0.2791666682291667,0.4021241837565359,0.2833333354166667,1,0.2777777777777778,0.33888888888888885,0.611111111111111,0.3754233356548508,2,0.49137931034482757
"MMR",0,0,0,0.4722222222222222,0,0,0.06094771266830065,0.663888891638889,0,0,0,0.21296296296296297,0.11750181579103124,8,0.10344827586206896
"MNE",0,0,0.5811965811965811,0.4388888888888889,0.29259259259259257,0.11666666666666667,0.3919934650522876,0.28611111281944446,0,0,0,0.21296296296296297,0.19336768918161867,5,0.3275862068965517
"MNG",0,0.5093589757089744,0,0.6074074074074074,0,0,0.10228758219934642,0.48611111319444444,0,0,0,0.21296296296296297,0.15984400345609462,7,0.1724137931034483
"MNP",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"MOZ",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.3750000031250001,0.398937909496732,0.28611111281944446,0,0,0,0.21296296296296297,0.22353091367609282,5,0.3103448275862069
"MRT",0,0,0,0.4388888888888889,0,0,0.04133986953104575,0.10833333437500002,0,0,0,0.21296296296296297,0.06679375464649147,8,0.05172413793103448
"MSR",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"MTQ",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"MUS",0,0.5093589757089744,0,0.4388888888888889,0.2324074074074074,0.11666666666666667,0.42263071995424834,0.19722222359722225,0,0,0,0.21296296296296297,0.17751148709886422,5,0.27586206896551724
"MWI",0,0.5093589757089744,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0,0,0.21296296296296297,0.2354590180776451,5,0.33620689655172414
"MYS",0,0,0,0.6074074074074074,0.2324074074074074,0.11666666666666667,0.42263071995424834,0.663888891638889,0,0,0,0.7314814814814814,0.23120688121300834,6,0.29310344827586204
"MYT",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"NAM",0,0,0,0.6074074074074074,0.29259259259259257,0.11666666666666667,0.42263071995424834,0.28611111281944446,0,0,0,0.21296296296296297,0.16153095520027688,6,0.23275862068965517
"NCL",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
